Scenario,ModelGroup,ICM-Hydro_CompID,ICM_years_to_correct ('all' or space delimited integers),Notes
7,652,465,all,polder between east bank of Atchafalaya River and Avoca Island Cutoff - overlapping zone between 1D and 2D model domain
8,652,465,all,polder between east bank of Atchafalaya River and Avoca Island Cutoff - overlapping zone between 1D and 2D model domain
7,653,465,all,polder between east bank of Atchafalaya River and Avoca Island Cutoff - overlapping zone between 1D and 2D model domain
8,653,465,all,polder between east bank of Atchafalaya River and Avoca Island Cutoff - overlapping zone between 1D and 2D model domain
8,604,570,23 24 25 26,Non project related changes to BG
8,605,570,23 24 25 26,Non project related changes to BG
8,607,570,all,Non project related changes to BG
8,608,570,23 24 25 26,Non project related changes to BG
8,609,570,23 24 25 26,Non project related changes to BG
8,611,570,23 24 25 26,Non project related changes to BG
8,614,570,23 24 25 26,Non project related changes to BG
8,625,570,all,Non project related changes to BG
8,628,570,23 24 25 26 50,Non project related changes to BG
8,630,570,23 24 25 26,Non project related changes to BG
8,633,570,all,Non project related changes to BG
8,634,570,23 24 25 26,Non project related changes to BG
8,641,570,all,Non project related changes to BG
8,617,609,38 39 40 41 42 43 44 45 46 47 48 49 50,S08: Flotant issues remote from project. Replace compartments 609 645 656 for years 38-50
8,631,609,38 39 40 41 42 43 44 45 46 47 48 49 50,S08: Flotant issues remote from project. Replace comp 609 for years 38-50
7,615,616,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,S07: water to BG. Replace compartments 616 798 657 800 for years 7-26
8,615,640,all,S08: unexplained loss inc flotant. Replace compartments 806 640 655 645 656 for all years (or 8-50)
7,632,640,all,S07: BG issues remove comp 640 years 44-48
8,615,645,all,S08: unexplained loss inc flotant. Replace compartments 806 640 655 645 656 for all years (or 8-50)
8,617,645,38 39 40 41 42 43 44 45 46 47 48 49 50,S08: Flotant issues remote from project. Replace compartments 609 645 656 for years 38-50
8,615,655,all,S08: unexplained loss inc flotant. Replace compartments 806 640 655 645 656 for all years (or 8-50)
8,601,656,all,S08: replace 656 - flotant issues unexplainable in 2 week salinity in comp 656
8,615,656,all,S08: unexplained loss inc flotant. Replace compartments 806 640 655 645 656 for all years (or 8-50)
8,617,656,38 39 40 41 42 43 44 45 46 47 48 49 50,S08: Flotant issues remote from project. Replace compartments 609 645 656 for years 38-50
7,615,657,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,S07: water to BG. Replace compartments 616 798 657 800 for years 7-26
7,615,798,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,S07: water to BG. Replace compartments 616 798 657 800 for years 7-26
7,615,800,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,S07: water to BG. Replace compartments 616 798 657 800 for years 7-26
8,601,801,all,S08: replace 801 - minor changes remote from project in yrs 10-11 and yrs 42-47
8,615,806,all,S08: unexplained loss inc flotant. Replace compartments 806 640 655 645 656 for all years (or 8-50)
8,629,1289,47 48 49,Excessive stage (4-7m) in last decade
8,629,1290,47 48 49,Excessive stage (4-7m) in last decade
